epoch,accuracy,loss,val_accuracy,val_loss
0,0.085000001,3.003722668,0.185499996,2.755293608
1,0.171333328,2.70269227,0.237499997,2.52786684
2,0.210666671,2.562223434,0.262499988,2.423073292
3,0.233999997,2.476914406,0.270000011,2.356026888
4,0.23983334,2.424729586,0.286000013,2.310130119
5,0.26516667,2.366445303,0.287999988,2.31284976
6,0.272000015,2.329614401,0.311500013,2.248071432
7,0.290166676,2.280561209,0.30250001,2.244505167
8,0.305000007,2.242507696,0.323000014,2.199160814
9,0.31400001,2.207718849,0.337000012,2.199812412
10,0.320833325,2.186412334,0.340000004,2.165996313
11,0.340999991,2.132653475,0.340999991,2.15433526
12,0.347666681,2.111660719,0.344000012,2.139276028
13,0.361833334,2.072385073,0.347499996,2.141893864
14,0.362500012,2.049400806,0.343499988,2.12347126
15,0.377999991,2.028869867,0.354000002,2.100089312
16,0.374500006,2.005785704,0.361999989,2.094739437
17,0.38866666,1.957856894,0.36500001,2.084564447
18,0.402833343,1.926215053,0.363999993,2.090043545
19,0.421000004,1.895180464,0.364499986,2.078497887
20,0.428333342,1.863969445,0.374000013,2.046070814
21,0.432166666,1.845035791,0.377499998,2.055819273
22,0.448166668,1.80933857,0.375499994,2.046880722
23,0.455666661,1.769933462,0.377499998,2.044547081
24,0.460333347,1.754100204,0.382499993,2.042652845
25,0.472499996,1.71733582,0.370499998,2.049329042
26,0.482166678,1.69001317,0.389499992,2.011239529
27,0.4815,1.671590805,0.372500002,2.038707256
28,0.50516665,1.620045304,0.37650001,2.032208204
29,0.500333309,1.618053436,0.379999995,2.033603191
30,0.512499988,1.588143349,0.388999999,2.022102356
31,0.518333316,1.568804979,0.375999987,2.033952236
32,0.535000026,1.532410622,0.387499988,2.025460958
33,0.533999979,1.512310266,0.385500014,2.026802063
34,0.551833332,1.473175406,0.381000012,2.018894196
35,0.568499982,1.439889431,0.396499991,1.997738957
36,0.558000028,1.430554867,0.397500008,2.016453266
37,0.569999993,1.405350089,0.3935,2.015847445
38,0.573166668,1.389005065,0.380499989,2.030536175
39,0.588,1.341517687,0.391499996,2.020848989
40,0.592333317,1.339655161,0.398499995,2.015901089
41,0.596000016,1.318232656,0.388500005,2.029460669
42,0.60983336,1.282770872,0.381999999,2.03527689
43,0.606166661,1.260574818,0.396499991,2.02831769
44,0.613333344,1.260157824,0.398999989,2.028171301
45,0.637833357,1.192302346,0.400000006,2.033352613
46,0.629000008,1.207259059,0.393999994,2.033802509
47,0.645666659,1.168990135,0.3935,2.057686806
48,0.65383333,1.157176733,0.389499992,2.045507908
49,0.653333306,1.1299088,0.400999993,2.037931681
50,0.656166673,1.130820513,0.396499991,2.047058582
51,0.660000026,1.105738878,0.401499987,2.054735422
52,0.665166676,1.08607173,0.386999995,2.074445009
53,0.680166662,1.075494766,0.403499991,2.043064117
54,0.669166684,1.072685838,0.4005,2.038047791
55,0.676333308,1.062828779,0.402500004,2.038472891
56,0.687166691,1.020922184,0.395999998,2.069044352
57,0.683666646,1.01891005,0.393999994,2.047926664
58,0.690333307,1.00879252,0.405499995,2.050887108
59,0.692166686,0.990400136,0.405999988,2.056299686
60,0.699833333,0.981530786,0.400999993,2.080492973
61,0.71783334,0.926884532,0.415499985,2.033631563
62,0.71116668,0.928257704,0.397500008,2.111098528
63,0.711833358,0.934130847,0.395999998,2.095542908
64,0.714166641,0.927277327,0.404000014,2.08328414
65,0.717333317,0.900256515,0.405000001,2.095043182
66,0.726000011,0.886854887,0.412999988,2.064721346
67,0.726000011,0.891859949,0.409500003,2.096523285
68,0.739000022,0.867891371,0.407000005,2.102699757
69,0.74666667,0.840604305,0.405499995,2.097670078
70,0.747333348,0.834751606,0.414499998,2.105102777
71,0.751666665,0.825596452,0.409999996,2.080246687
72,0.747166693,0.820450425,0.412999988,2.085637808
73,0.761666656,0.79445982,0.423999995,2.071392298
74,0.752666652,0.811704755,0.398000002,2.122073889
75,0.760333359,0.79116106,0.411500007,2.106124163
76,0.752833307,0.788285673,0.408499986,2.090979338
77,0.76700002,0.761843085,0.415499985,2.093554974
78,0.761500001,0.773517847,0.417499989,2.08044982
79,0.776000023,0.740389228,0.402999997,2.120442867
80,0.786666691,0.72095257,0.411500007,2.117659569
81,0.779666662,0.727521539,0.41049999,2.100881815
82,0.775833309,0.731023431,0.411000013,2.120004654
83,0.780666649,0.714110672,0.400000006,2.141976595
84,0.781333327,0.714809299,0.417499989,2.120626211
85,0.783333361,0.69643259,0.414499998,2.130379677
86,0.786499977,0.693949521,0.402500004,2.138366699
87,0.793166637,0.680013895,0.414499998,2.127148867
88,0.796000004,0.673377454,0.412499994,2.125920296
89,0.799166679,0.661710501,0.419,2.146390676
90,0.795166671,0.66114974,0.422500014,2.142297029
91,0.804666638,0.646608233,0.405499995,2.150966883
92,0.793666661,0.660450697,0.426999986,2.141814232
93,0.808000028,0.640181422,0.430000007,2.120177269
94,0.816500008,0.614623129,0.424499989,2.138166904
95,0.808833361,0.611737847,0.418500006,2.147283792
96,0.809333324,0.627904594,0.416999996,2.162580252
97,0.825833321,0.575384378,0.405000001,2.181914568
98,0.816999972,0.609642744,0.421000004,2.180545807
99,0.81916666,0.586313188,0.419,2.183264971
100,0.817833304,0.586569309,0.426999986,2.151743174
101,0.811833322,0.59239912,0.430000007,2.139706135
102,0.817833304,0.579811871,0.432500005,2.137537241
103,0.828499973,0.577483416,0.434500009,2.136413813
104,0.83433336,0.550592303,0.421000004,2.152386904
105,0.831166685,0.554633021,0.425000012,2.176290274
106,0.833000004,0.534540534,0.421499997,2.154559851
107,0.829833329,0.553444743,0.430999994,2.148020744
108,0.831499994,0.556653678,0.425000012,2.147045135
109,0.846666694,0.512878776,0.419999987,2.197830677
110,0.833000004,0.546182156,0.430999994,2.176082134
111,0.837333322,0.537382841,0.423999995,2.205066919
112,0.843833327,0.511174738,0.418500006,2.204154015
113,0.841833353,0.521263659,0.409999996,2.196105719
114,0.850833356,0.488329142,0.411000013,2.213334084
115,0.843500018,0.500451386,0.430000007,2.209467173
116,0.838,0.509040833,0.425500005,2.17382431
